uri	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	clusters
spotify:track:7eByPAx572J3cclC8y3mkp	0.605	0.826	9	-7.878	0	0.046	0.00454	0.000612	0.0999	0.103	123.996	209516	12
spotify:track:5J0o5PYCHvDQZ10FtJ6bwz	0.444	0.717	9	-7.054	0	0.0991	0.522	1.85e-06	0.105	0.242	121.257	168197	-1
spotify:track:4kRh9wZFE126GpNIRHNBma	0.795	0.927	2	-6.395	1	0.0801	0.0086	0.107	0.327	0.719	126.983	186014	2
spotify:track:5fgT3t3IYunBVjKhEzJZv6	0.827	0.615	0	-5.902	1	0.284	0.551	0.0779	0.329	0.259	120.072	173270	0
spotify:track:5yIhGoOGSJdkO9WilRR6ya	0.677	0.967	11	-4.546	1	0.0642	0.00827	0.923	0.636	0.441	126.024	194544	2
spotify:track:4jRXoqeqFNxUI25ugusDyI	0.803	0.747	9	-9.472	1	0.138	0.00423	0.18	0.368	0.525	126.013	185516	0
spotify:track:3hVIIqBnoSXWxlUQRWikYL	0.796	0.629	6	-8.959	0	0.058	0.0197	0.832	0.0792	0.478	129.004	391000	13
spotify:track:00DpBZOGF65naE1u4WSpXm	0.756	0.936	11	-4.156	0	0.0795	0.00306	0.183	0.0209	0.865	126.016	224762	11
spotify:track:7jTRNKFddIvWjcfp45AzGY	0.685	0.759	7	-5.393	0	0.0447	0.0777	3.02e-05	0.0884	0.311	123.024	157073	-1
spotify:track:2kCEz5SnL22qQhJeOjgNQW	0.777	0.887	5	-5.152	0	0.0507	0.0876	0.0632	0.0966	0.325	126.038	171084	-1
spotify:track:32E8uwM57X19l3uBOEuTB2	0.696	0.819	1	-6.439	0	0.0417	0.103	0.00108	0.113	0.307	123.992	147581	-1
spotify:track:2UAYm3HBPNalktzCgWavda	0.773	0.913	1	-4.52	0	0.0516	0.00174	0.826	0.0691	0.527	127.997	329960	6
spotify:track:2e3Qt3sB30HiEWqlwUWga9	0.793	0.995	11	-2.466	0	0.183	0.032	0.838	0.198	0.45	126.006	169524	-1
spotify:track:6iHZ182aODIVGzWusNtLx8	0.799	0.876	10	-6.018	0	0.124	0.0377	0.585	0.115	0.559	125.016	250080	0
spotify:track:7auKrax0KsuQBIYL3FHzJm	0.734	0.703	7	-7.171	1	0.04	0.0032	0.676	0.0828	0.376	124.014	205403	-1
spotify:track:7hciLyZWekdi8tz3dNtc9i	0.824	0.813	4	-4.776	0	0.0485	0.00134	0.000767	0.0806	0.593	124.999	326640	12
