uri	artists	track_title	release_date	release_date_precision	genre	record_label	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	clusters
spotify:track:0NYLmWSEs8L1TkfYzOsnDa	deadmau5	SATRN	2019	day	Progressive House	mau5trap	0.475	0.865	5	-6.132	1	0.0508	0.00516	0.909	0.0913	0.0285	127.952	415447	-1
spotify:track:2JjwR5GK8XZE0ZOiL1VBOf	deadmau5	Saved	2016	day	Progressive House	mau5trap	0.663	0.665	6	-10.737	0	0.0353	0.0804	0.543	0.157	0.0713	128.004	588750	-1
spotify:track:4V1q7bisMd8yw75aHyVZhX	deadmau5	Silent Picture	2014	day	Dance / Electro Pop	Virgin Records Ltd	0.762	0.396	5	-13.43	1	0.0559	0.91	0.964	0.119	0.0685	128.016	218443	22
spotify:track:0rdp0PuJUfn7AMJiLUWXix	deadmau5	Slip	2009	day	Progressive House	mau5trap	0.847	0.854	5	-5.812	0	0.0804	0.167	0.711	0.561	0.0384	127.959	463441	2
spotify:track:1N31Wy2PWz5HvCzMbff3mO	deadmau5	Snowcone	2016	day	Trap / Wave	mau5trap	0.726	0.563	11	-8.043	0	0.238	0.096	0.871	0.263	0.134	98.007	314423	0
spotify:track:0FhMTf89gOBbFboNHmkXAH	deadmau5	So There I Was	2009	day	Progressive House	mau5trap	0.859	0.638	6	-7.816	1	0.0517	0.00297	0.869	0.656	0.343	128.007	405557	2
spotify:track:7q3aKYrhCbTnxdRZ6xmkC6	deadmau5	Some Chords	2010	day	Dance / Electro Pop	Virgin Records	0.786	0.427	1	-8.015	1	0.0669	6.42e-05	0.537	0.0732	0.42	128.005	444141	13
spotify:track:3wDhTopU0VOhT2WOjxXiiJ	deadmau5	Sometimes Things Get, Whatever	2009	day	Deep House	Uxoa Dutxa Elite	0.739	0.719	6	-7.516	1	0.169	0.00312	0.794	0.278	0.0472	127.999	500302	3
spotify:track:76FD6RO2ts24Ekv9scRc8Q	deadmau5	Somewhere Up Here	2014	day	Dance / Electro Pop	Virgin Records Ltd	0.688	0.328	5	-12.53	0	0.031	0.788	0.838	0.109	0.318	127.925	310484	22
spotify:track:1sgyYCbGhkX3auLHCQ825G	deadmau5	Strobe	2009	day	Progressive House	Virgin	0.44	0.446	8	-10.537	0	0.0374	0.00986	0.929	0.123	0.0359	128.027	634467	-1
spotify:track:4cf2TCyoKhGChtxt1wImWA	deadmau5	Suckfest9001	2013	day	Progressive House	mau5trap	0.67	0.444	10	-7.46	0	0.0812	0.00363	0.828	0.086	0.0382	127.959	423760	31
spotify:track:2uM8EuKY4FjY8n2JcENJfM	deadmau5	Superliminal	2012	day	Dance / Electro Pop	Parlophone	0.725	0.617	0	-8.519	1	0.0477	0.00453	0.929	0.0865	0.0365	128.011	393206	13
spotify:track:2h4Xmog1rqpesbGe3hmQVC	deadmau5	Terrors In My Head	2014	day	Dance / Electro Pop	Virgin Records Ltd	0.781	0.614	9	-11.01	1	0.102	0.0982	0.877	0.185	0.0424	128.041	517672	37
spotify:track:6XmLwx2FpuY4k2u77Uai7C	deadmau5	The 16th Hour	2009	day	Progressive House	mau5trap	0.689	0.885	7	-10.597	1	0.0405	0.225	0.89	0.0863	0.0391	132.006	595587	-1
spotify:track:7rwgvDDkdHTBMAruB2Lr3Z	deadmau5	There Might Be Coffee	2012	day	Dance / Electro Pop	Parlophone	0.66	0.86	7	-6.73	0	0.266	0.0117	0.666	0.109	0.202	128.015	422994	0
spotify:track:4V5LPHyAOcUERXXD2NngT5	deadmau5	Three Pound Chicken Wing	2016	day	Electronica	MartyParty Music	0.875	0.523	0	-7.663	0	0.0643	0.00134	0.869	0.232	0.0338	128.009	382730	13
spotify:track:19K51efGAGo1vjJNEbSnaP	deadmau5	Where My Keys?	2011	day	House	mau5trap	0.791	0.539	10	-7.994	1	0.057	0.000203	0.879	0.0735	0.0331	128.017	412580	31
spotify:track:6hK0irlXHoN9DeflWvkmKy	deadmau5	bad at titles	2017	day	Techno (Peak Time / Driving)	mau5trap	0.71	0.639	6	-12.528	1	0.0435	0.103	0.923	0.0426	0.0356	128.021	525000	-1
spotify:track:3Gypwxzrov1uVkswB7sSSy	deadmau5	The Veldt (8 Minute Edit)	2014	day	Dance / Electro Pop	Parlophone	0.742	0.625	9	-9.177	1	0.0322	0.159	0.443	0.0686	0.337	128.025	521916	-1
spotify:track:14HVpSRZSmH2T9p6Wba7EH	deadmau5	The Veldt (Original Mix)	2012	day	Dance / Electro Pop	Parlophone	0.678	0.756	9	-9.106	1	0.0299	0.118	0.547	0.0656	0.259	128.028	694427	30
spotify:track:5LGznfM9svwsoveWAsWSbi	deadmau5	Faxing Berlin (Chris Lake Remix)	2017	day	Progressive House	Play Records	0.796	0.742	2	-8.518	0	0.0438	0.0414	0.859	0.628	0.512	127.999	493600	2
spotify:track:0sXWq8leY2aaowjy43l98n	deadmau5	I Said (Michael Woods Remix)	2010	day	Dance / Electro Pop	Virgin Records	0.754	0.811	2	-5.053	1	0.0416	0.000227	0.769	0.112	0.038	127.004	426113	25
spotify:track:7fI68tGykUE5DosLnVASDA	deadmau5	Seeya	2014	day	Progressive House	mau5trap	0.932	0.351	11	-12.612	0	0.399	0.00244	0.000666	0.79	0.505	111.002	400237	0
spotify:track:6QkitDS4vS6jejcBT01Bv2	deadmau5	Fehrplay Remix (Fehrplay Remix)	2014	day	Progressive House	Rising Music	0.615	0.685	6	-8.386	0	0.0308	0.228	0.909	0.0781	0.149	128.024	472515	-1
spotify:track:5Xfsi8oeFBaVNs75XbrOKM	deadmau5	Hyperlandia (feat. Foster The People) (Club Mix)	2021	day	Dance / Electro Pop	Big Beat Records	0.71	0.702	2	-6.556	1	0.0511	0.000202	0.767	0.311	0.468	107.023	260187	6
spotify:track:6sxDe87etUDtY31ahvkKHJ	deadmau5	Let Go (Extended Edit)	2016	day	Dance / Electro Pop	mau5trap	0.43	0.541	5	-11.397	1	0.0524	0.253	0.539	0.105	0.0301	128.006	691473	-1
spotify:track:4dbsPcWY5GDx7SnMx1he3N	deadmau5	Let Go (Grabbitz Edit)	2017	day	Dance / Electro Pop	mau5trap	0.539	0.632	5	-7.165	1	0.0291	0.0678	0.00543	0.119	0.139	144.956	337655	4
spotify:track:5gCGQlfEofp2Zxz5ZjJAa9	deadmau5	Let Go	2016	day	Dance / Electro Pop	mau5trap	0.644	0.555	0	-10.981	0	0.0429	0.205	0.309	0.12	0.0345	128.026	378450	-1
spotify:track:7kSYKuoXjk2RC3iRYyWAat	deadmau5	Imaginary Friends (i_o Remix)	2019	day	Techno (Peak Time / Driving)	mau5trap	0.698	0.892	2	-6.801	1	0.043	0.00459	0.642	0.436	0.146	129.993	376615	-1
spotify:track:2edcAWwKM7SQajsFGP0edC	deadmau5	I Remember	2009	day	Progressive House	mau5trap	0.848	0.497	11	-7.124	0	0.0529	0.0201	0.297	0.217	0.615	128.013	593600	31
spotify:track:7EroGeDg1uteOaQ45Ftfiz	deadmau5	I Remember (John Summit Remix)	2023	day	Dance / Electro Pop	mau5trap	0.544	0.857	7	-6.743	1	0.0336	0.00679	0.565	0.195	0.0952	126.016	240000	-1
spotify:track:0OF3QjQkUyhMqvnFHN7XC3	deadmau5	Bridged By A Lightwave (Alternative Mix)	2021	day	Dance / Electro Pop	mau5trap	0.97	0.321	7	-9.763	1	0.138	0.00116	0.863	0.0612	0.414	127.999	352500	31
spotify:track:0h2Wm6enU22ajl3YmVHPbM	deadmau5	Bridged By A Lightwave	2021	day	Dance / Electro Pop	mau5trap	0.573	0.726	2	-8.303	1	0.0621	0.0628	0.138	0.0944	0.0327	127.977	562500	-1
spotify:track:05OUNj7yQ6TBTQ4YZib8zv	deadmau5	drama free	2018	day	Electronica	mau5trap	0.636	0.546	11	-4.999	1	0.0435	0.0221	0.0054	0.134	0.148	92.022	191038	-1
spotify:track:4vHg28nw6O3Kp0d61Wi1si	deadmau5	Tiny Dancer (Deadmau5 Extended Remix)	2008	day	Progressive House	Cubrik	0.815	0.461	0	-7.764	1	0.0338	0.00666	0.408	0.657	0.203	124.99	440083	2
spotify:track:7BLU6II2pyB1c1r2jEjWk9	deadmau5	superbia (ov) (Matt Lange Remix)	2019	day	Melodic House & Techno	mau5trap	0.783	0.642	4	-11.928	0	0.051	0.0106	0.916	0.108	0.171	126.008	567327	31
spotify:track:3NTjsNfsZ7Rdy0yIIbYIEE	deadmau5	10.8	2018	day	Electronica	mau5trap	0.8	0.527	8	-8.815	0	0.123	0.0618	0.788	0.175	0.0517	127.97	335625	-1
spotify:track:1vO4RYFcl85oihu00zVsEK	deadmau5	gula (ov) (Pig&Dan Remix)	2019	day	Melodic House & Techno	mau5trap	0.851	0.719	1	-10.389	0	0.0561	0.00456	0.87	0.0934	0.0516	128.002	495117	13
spotify:track:19GGgU1bwsgH8bVezH3qDS	deadmau5	acedia (ov) (Rinzen Remix)	2019	day	Electronica	mau5trap	0.355	0.729	6	-10.122	1	0.0388	0.00168	0.816	0.274	0.04	128.005	324500	-1
spotify:track:4ua0IepBEISCWwF8dTJvcU	deadmau5	Ghosts 'n' Stuff	2009	day	Dance / Electro Pop	Mau5trap/Virgin	0.617	0.617	8	-6.941	1	0.122	3.97e-05	0.0598	0.253	0.517	127.996	328253	-1
spotify:track:4WkLyrueqyBQRAifCV0Ind	deadmau5	Monophobia (Extended Mix)	2018	day	Progressive House	mau5trap	0.664	0.573	6	-6.875	0	0.0473	0.0217	0.0283	0.107	0.0537	128.003	600000	-1
spotify:track:5W5K3zpDX9yhhGOc0Hvvl4	deadmau5	Are You Not Afraid	2019	day	Electronica	mau5trap	0.809	0.844	11	-5.104	1	0.344	0.102	9.99e-05	0.313	0.934	84.996	190930	0
spotify:track:1cKJcH2bxbcWblTLzSvmcv	deadmau5	SATRN (Sian Remix)	2020	day	Mainstage	mau5trap	0.536	0.932	4	-6.847	0	0.0354	0.00122	0.873	0.115	0.0329	128.01	446271	-1
spotify:track:4hyygOxYRr9vV2v4Wlkz9J	deadmau5	One Trick Pony	2010	day	Dance / Electro Pop	Virgin Records	0.684	0.679	10	-8.496	0	0.0454	0.000602	0.0	0.119	0.0938	140.136	239119	4
spotify:track:1klMdOiawDp93BwvSaYghi	deadmau5	SOFI Needs A Ladder	2010	day	Dance / Electro Pop	Virgin Records	0.779	0.707	5	-7.755	1	0.052	0.00429	0.00273	0.746	0.341	128.01	403088	2
spotify:track:19DcjoKl2YWtrJaME3BxTJ	deadmau5	fn pig (ov) (Spencer Brown Remix)	2019	day	Melodic House & Techno	mau5trap	0.523	0.615	9	-8.556	1	0.0418	0.000438	0.837	0.24	0.0343	128.007	574361	30
spotify:track:5ufaAwg46yyNGdgkDz987H	deadmau5	luxuria (ov) (Tinlicker Remix)	2019	day	Melodic House & Techno	mau5trap	0.562	0.917	9	-6.196	0	0.0351	0.00027	0.935	0.0653	0.0681	124.006	414385	-1
spotify:track:1M0Cde2kvsCD8rna9rlnS6	deadmau5	Animal Rights	2010	day	Dance / Electro Pop	Virgin Records	0.973	0.468	11	-4.258	0	0.246	0.000162	0.158	0.671	0.338	128.02	376001	0
spotify:track:2EFjA0bQbpIseUlPHCeIil	deadmau5	Channel 42	2012	day	Mainstage	mau5trap	0.699	0.724	9	-6.872	0	0.124	4.63e-05	0.3	0.0962	0.414	128.034	291943	-1
spotify:track:1syOM2IlIO2zVfSSfNxXuh	deadmau5	Channel 43 (Extended Mix)	2021	day	Mainstage	mau5trap	0.75	0.626	1	-5.58	1	0.0725	0.00278	0.816	0.0851	0.262	128.02	482237	-1
spotify:track:0TFGZTLzOf4VgbUktnuSV8	Dee Montero	In The Wild (Extended Mix)	2018	day	Melodic House & Techno	Anjunadeep	0.746	0.733	9	-7.055	0	0.0458	0.000905	0.723	0.0376	0.518	121.032	448108	-1
spotify:track:33yQhByUCMYnRlr5wByNLE	Deep Dish	Quincy	2014	day	Tech House	Virgin EMI	0.82	0.492	11	-8.883	0	0.128	0.0049	0.816	0.184	0.483	126.009	489448	-1
spotify:track:2M8q52iy5qxH9cjWvkcqML	Deeparture	Let's Remember	2022	day	Melodic House & Techno	This Never Happened	0.645	0.687	8	-8.021	1	0.0291	0.0678	0.751	0.186	0.334	122.019	293115	28
spotify:track:56cBJjwX7hK4Mt8azLvt6H	Deeper Purpose	Party Diva (Extended Mix)	2022	day	Tech House	Experts Only	0.803	0.929	1	-6.903	1	0.0503	0.00123	0.745	0.0763	0.867	125.992	368156	7
spotify:track:7h46DL9nfTCyl7OhStxeD6	Deeplomatik	In Da House (Extended Mix)	2022	day	Deep House	PHXBLK	0.806	0.944	4	-5.7	0	0.0766	0.00099	0.89	0.0671	0.93	123.019	324465	7
spotify:track:1mHdnrcPMlhwFqMrsS9Kbx	Dele Sosimi Afrobeat Orchestra	Too Much Information (Laolu Remix (Edit))	2015	day	Afro House	Innervisions	0.733	0.749	8	-6.737	1	0.043	0.000481	0.884	0.0852	0.459	120.015	512100	35
spotify:track:7tU5JvCfG0t3PHG7mchPjv	Delerium	Silence (feat. Sarah McLachlan) (DJ Tiësto's in Search of Sunrise Remix)	2003	day	Trance (Main Floor)	Nettwerk	0.606	0.867	11	-5.696	0	0.0563	0.00173	0.571	0.0693	0.0954	137.98	693680	-1
spotify:track:0pcFsOq2tH5K0NmbSINzet	Denis Horvat	Noise	2019	day	Melodic House & Techno	Afterlife Records	0.556	0.703	10	-10.164	0	0.0841	0.00503	0.833	0.106	0.0394	122.982	441499	-1
spotify:track:4euEvn1jjxEqY9AOXCwR1y	Deniz Bul	Fata Morgana	2022	day	Techno (Peak Time / Driving)	FCKNG SERIOUS	0.914	0.604	6	-8.831	1	0.0508	0.00152	0.757	0.193	0.0542	124.999	189160	24
spotify:track:3GgXI2C3vPBpH0LlzuzIb8	Denney	Empire	2018	day	House	FFRR	0.746	0.877	11	-6.603	0	0.0457	0.00385	0.491	0.0556	0.732	125.949	164637	-1
spotify:track:7LNwrv1sIY9ukF9tTPtYKT	Denney	Lies (Gorge & Nick Curly Remix)	2023	day	Deep House	8Bit	0.802	0.847	9	-6.825	1	0.042	0.000795	0.72	0.045	0.493	125.017	236189	5
spotify:track:0R8dsqbzcoHoqUN5MLWyOi	Dennis Ferrer	Hey Hey	2010	day	House	Defected	0.728	0.868	11	-5.446	1	0.0557	0.0435	7.37e-06	0.0999	0.921	126.022	190053	10
spotify:track:0SOBlTIiTRE5wuah86eR1t	Dennis Ferrer	Hey Hey (Riva Starr Paradise Garage Club Mix)	2020	day	House	Defected	0.699	0.934	8	-6.073	1	0.056	0.000632	0.801	0.43	0.74	126.008	445745	-1
spotify:track:2gJKKQbQnlkSETAYH0aVuc	Dennis Quin	Without You	2021	day	Deep House	Rejected	0.804	0.683	8	-8.467	1	0.0498	0.00511	0.947	0.0989	0.12	127.999	391875	37
spotify:track:1O6uOI8krqO5ChKCDpj09A	Depeche Mode	Enjoy the Silence (Timo Maas Extended Remix)	2004	day	Dance / Electro Pop	Venusnote Ltd.	0.706	0.626	10	-6.592	0	0.0522	0.00101	0.155	0.156	0.522	122.995	523573	-1
spotify:track:3q4x3JBiD7agsWjQ3VZuGo	Der Dritte Raum	Hale Bopp (Boris Brejcha Remix)	2018	day	Melodic House & Techno	Harthouse	0.802	0.757	10	-9.588	0	0.0585	5.5e-05	0.866	0.0941	0.196	123.984	548000	31
spotify:track:6EYMBJMHV0zyf31EakEHBW	dEVOLVE	Running Up That Hill	2022	day	Progressive House	TURNT Music Media	0.663	0.758	0	-7.244	0	0.0361	0.00183	0.0255	0.0756	0.37	123.992	264000	11
spotify:track:0qgsMUDdzqzqKu5xbpDddn	Dick Johnson	Senegal	2017	day	House	Industry Standard	0.737	0.884	2	-7.475	1	0.043	0.00122	0.79	0.109	0.167	122.009	332630	26
spotify:track:45w3Dq2i7LX9oRmlSNCbF5	Didrik Thulin	Dancer (Kygo Remix)	2013	day	House	Cr2 Records	0.733	0.504	0	-14.485	0	0.0421	0.0672	0.0156	0.614	0.913	120.001	394000	2
spotify:track:34IBzeWblAz08GTPDDOT9d	DIM KELLY	Nocturna Animal	2021	day	Organic House / Downtempo	All Day I Dream	0.71	0.601	2	-8.939	0	0.0949	0.00399	0.0962	0.217	0.328	118.041	368332	15
spotify:track:3DDBqDPYQJDKQQ1j7wJAUV	Dino Maggiorana	Underground (T78 Remix)	2018	day	Techno (Peak Time / Driving)	Funk'n Deep Black	0.761	0.915	7	-7.938	1	0.134	0.0216	0.891	0.119	0.276	128.005	361875	-1
spotify:track:5hmcw6bW5V24CvJqsz87We	Diplo	On My Mind	2020	day	Bass House	Higher Ground	0.771	0.731	7	-6.577	1	0.0407	0.00155	0.681	0.217	0.629	123.026	189268	-1
spotify:track:3ruSBJtsa5dVwbIl7miXBw	Diplo	On My Mind (Purple Disco Machine Remix)	2020	day	Nu Disco / Disco	Higher Ground	0.729	0.688	0	-6.397	1	0.0331	0.102	0.0651	0.184	0.744	123.011	263415	11
spotify:track:0pI1I3LwZRXOz1NjmTPQxj	Dirty Channels	Watchin Out (Dirty Channels vs. Danny Russell)	2018	day	House	Athens Of The North	0.828	0.619	3	-7.92	1	0.134	0.000554	0.48	0.143	0.549	125.004	353636	-1
spotify:track:13G1EIwR6yz6OH140hADiM	Dirty Vegas	Days Go By (CamelPhat Remix)	2019	day	Progressive House	Toolroom	0.675	0.832	2	-7.596	1	0.0386	0.0603	0.0572	0.228	0.719	123.022	232011	-1
spotify:track:5WTQ7dZjF9pGvGgSea1e6Y	Disciples	Mastermind	2015	day	Deep House	FFRR	0.798	0.867	0	-7.635	1	0.0506	0.000577	0.408	0.0399	0.523	124.002	329023	-1
spotify:track:5Xc74Dn1ZKH6H8XaVGOHXG	Disciples	On My Mind	2017	day	House	FFRR	0.741	0.893	0	-2.549	0	0.0384	0.0435	3.19e-05	0.0371	0.733	122.056	185846	11
spotify:track:3MJWJb6jox2z4W3rb8G8y6	Disclosure	In My Arms	2021	day	House	Disclosure	0.743	0.941	10	-10.058	0	0.0562	0.00228	0.703	0.335	0.285	126.315	369467	-1
spotify:track:1SU92PvmDTowaZGmo5oI82	Disclosure	When A Fire Starts To Burn	2013	day	House	Universal-Island Records Ltd.	0.86	0.732	7	-6.956	1	0.207	0.00963	0.00115	0.243	0.672	123.963	283706	0
spotify:track:7ANO3LRdvefIongRYm5Smz	Disclosure	White Noise	2013	day	House	Universal-Island Records Ltd.	0.666	0.848	10	-6.165	0	0.0502	0.0091	0.00024	0.317	0.895	119.986	277688	4
spotify:track:0csz09qS2n8Jo7LogHKu7j	Disclosure	Tondo	2020	day	Dance / Electro Pop	Universal-Island Records Ltd.	0.675	0.92	0	-7.153	0	0.0539	0.0126	0.117	0.329	0.842	132.001	329280	4
spotify:track:51ODNNDZm21HU7wI7cccRr	Disclosure	Latch	2013	day	House	Universal-Island Records Ltd.	0.503	0.727	1	-5.456	1	0.167	0.0159	9.45e-05	0.0895	0.521	121.985	255632	-1
spotify:track:0XOxESLhXI78qiuyLiw7ia	Divolly & Markward	Bamako (Extended Mix)	2020	day	House	SONO Music	0.795	0.802	1	-7.85	0	0.0443	0.0108	0.383	0.0777	0.921	123.998	264223	11
spotify:track:6mdmWOshyJBHiFyZJ9YZRz	DJ Delicious	Same Man (Vocal Club Mix)	2006	day	House	Phunkwerk	0.733	0.849	6	-7.677	1	0.0479	5.68e-05	0.628	0.0328	0.887	125.574	394640	7
spotify:track:41XyAPNMCRglIDXCMRnHRo	DJ Dove	Cuttin (Extended Mix)	2021	day	Tech House	Caballero Recordings	0.803	0.965	4	-6.816	0	0.0467	8.04e-06	0.874	0.0621	0.33	126.006	377143	8
spotify:track:2rL6RiorPm6fWSEFUNX8cF	DJ Gigola	Stream State	2023	day	Techno (Peak Time / Driving)	Live From Earth Klub	0.719	0.629	7	-14.574	1	0.0868	0.305	0.808	0.195	0.229	133.013	364456	21
spotify:track:3Mmv1bkfa1yqayLKmbXjSM	DJ Gregory	Tropical Soundclash	2017	day	House	Defected	0.787	0.938	4	-8.012	1	0.0765	1.89e-05	0.894	0.288	0.25	129.998	513074	-1
spotify:track:0dPFoeSIGtXdADvYLyNb8t	Dj Kone	Sat & Sun (Original Mix)	2019	day	House	Cube Recordings	0.811	0.947	8	-5.448	1	0.0494	0.00154	0.651	0.069	0.7	124.0	372097	7
spotify:track:5YzBL3vkQnp3JbeDRRSbSQ	DJ Koze	Pick Up	2018	day	House	Pampa Records	0.712	0.601	5	-8.968	1	0.062	1.09e-05	0.802	0.0982	0.513	124.912	398151	-1
spotify:track:3HJzvVDuib5jRXfhJ0MV3F	DJ Kuba	Dancing (Wh0 Festival Remix)	2021	day	Funky House	SPINNIN' RECORDS	0.699	0.968	5	-4.845	1	0.0548	0.00506	0.854	0.382	0.569	126.017	201905	-1
spotify:track:1sq2c9imVEasf4IqpuiEjr	DJ Lukas Wolf	Check My Heart (Radio Version)	2016	day	Deep House	Lounge Bazar	0.735	0.836	8	-7.201	1	0.041	0.000262	0.667	0.13	0.46	121.981	257941	5
spotify:track:4gz4vDSsSOpNJaxpaw4asT	DJ Misjah	Access (i_o Remix)	2020	day	Techno (Peak Time / Driving)	Armada Music	0.72	0.997	6	-7.039	0	0.0835	0.00424	0.831	0.118	0.115	133.0	339248	-1
spotify:track:3h9g9jiwVYrQB1prx5eSEB	Dj Panda Boladao	What A Girls To Do	2020	day	House	Magnetron Music	0.831	0.446	8	-8.875	1	0.0697	0.00711	0.787	0.0622	0.281	124.024	220144	31
spotify:track:3W9WEIQ1D8mIIWoS4iw5oQ	DJ PP	Soul Train (Original Mix)	2021	day	Jackin House	PPMUSIC	0.803	0.99	4	-6.702	0	0.103	0.00984	0.895	0.0494	0.514	126.034	339048	-1
spotify:track:5KomYZlwp9TUlVLRrEObHy	DJ Wady	No Time for Hulk (Camelphat Re-Fix ((Erik Hagleton 2018 Vocal Edit))	2018	day	Tech House	Cr2 Records	0.777	0.969	6	-8.252	0	0.047	0.00158	0.932	0.152	0.31	124.003	379355	38
spotify:track:5R3GYz2S7vv5VrtR4GoFJh	DJ Zombi	French Toast (Mollono.Bass Remix)	2023	day	Organic House / Downtempo	3000 Grad Records	0.729	0.754	1	-8.218	1	0.0335	0.000343	0.931	0.0955	0.352	121.988	374040	20
spotify:track:6JU6B3alhgZNNBTsgfMDAp	Djuma Soundsystem	Les Djinns	2004	day	Mainstage	Audiomatique Recordings	0.735	0.668	10	-9.617	0	0.0414	0.163	0.869	0.111	0.461	123.014	327973	31
spotify:track:3rWSVB8ImDF3x1P22txCPe	Dole & Kom	Together Onetime	2019	day	Nu Disco / Disco	Bar 25 Music	0.74	0.828	7	-8.151	1	0.0698	0.00762	0.558	0.112	0.711	124.021	419015	-1
spotify:track:58wLMDD4RqAkzcPT3btlyF	Dole & Kom	Together Onetime (Butch Remix)	2021	day	House	Bar 25 Music	0.744	0.865	7	-8.154	1	0.0546	0.00331	0.3	0.0703	0.81	124.001	434507	10
spotify:track:6ctFMN8mLVqE8VOm8uNwj4	Dom Kane	Tunnel Run	2019	day	Techno (Peak Time / Driving)	mau5trap	0.787	0.726	10	-9.04	0	0.0832	0.00483	0.831	0.0931	0.0502	124.004	349839	37
spotify:track:01fVbxyW9y2oKdXvg56uE5	Dombresky	Soul Sacrifice	2019	day	Tech House	Process Records	0.847	0.934	9	-5.381	1	0.0442	0.00783	0.494	0.0797	0.863	126.035	232211	10
spotify:track:77eJSMNYSqeZdhiOHDPaK6	Dominica	Gotta Let You Go (Club Mix)	1994	day	House	Altra Moda	0.768	0.976	3	-5.432	0	0.0768	0.00716	0.859	0.0891	0.505	126.38	410623	-1
spotify:track:5hVAk39jFzjiYUPULpKkel	Dominica	Gotta Let You Go (Original '95 Club Mix)	1994	day	House	Altra Moda	0.771	0.977	3	-7.537	0	0.0551	0.00501	0.695	0.0929	0.784	126.355	382400	7
spotify:track:1o4fh5viAo0ajgYs1IpqCP	Dominik Eulberg	Die Dunkle Biene	2023	day	Melodic House & Techno	Ritter Butzke Records	0.714	0.789	2	-8.395	1	0.0391	0.135	0.924	0.0748	0.216	123.005	465833	-1
spotify:track:6XGGVqdwaMUL6ck7WmdOV5	Dominik Eulberg	Goldene Acht	2019	day	Electronica	K7 Records	0.576	0.805	10	-7.08	0	0.0609	0.0578	0.898	0.387	0.267	119.999	532240	-1
spotify:track:3R0Et3SS6eO5VgpZGpnTaU	Don Diablo	Silence (feat. Dave Thomas Junior)	2017	day	Dance / Electro Pop	SPINNIN' RECORDS	0.75	0.667	11	-5.468	1	0.0544	0.326	0.00343	0.111	0.33	121.94	209754	-1
spotify:track:2zMJN9JvDlvGP4jB03l1Bz	Donna Summer	Hot Stuff	1979	day	Dance / Electro Pop	RCA Records Label	0.823	0.743	0	-13.98	1	0.0316	0.00559	0.0306	0.0707	0.966	120.471	314760	15
spotify:track:2VrACyTBNCprOxzx6xWZVP	Donna Summer	I Feel Love (Rollo & Sister Bliss Monster Mix)	1995	day	Dance / Electro Pop	Mercury Records	0.583	0.776	7	-11.237	0	0.031	0.0277	0.65	0.132	0.414	126.066	393822	-1
spotify:track:0dscjPnInOtKkdqvnoXZ8m	DONT BLINK	VIBRATION (Extended Mix)	2020	day	Tech House	Sink or Swim	0.803	0.997	9	-5.353	0	0.0558	0.0177	0.918	0.099	0.713	125.022	345600	7
spotify:track:5Guw03xn5d4aHQD8BrUBhj	Dosem	Just In Time (Original Mix)	2018	day	Tech House	Toolroom	0.856	0.885	4	-6.629	0	0.0566	0.000465	0.951	0.0986	0.668	125.001	370753	7
spotify:track:153U1fhgUdWnIdm7cz54rJ	Dosem	Pleasures	2020	day	Melodic House & Techno	Anjunadeep	0.722	0.687	5	-7.29	1	0.046	0.0193	0.87	0.0813	0.322	124.993	288000	28
spotify:track:4HCa812GRB5lJoUPOOk6sL	Double Disco	Ocean (Radio Edit)	2022	day	Melodic House & Techno	Gold Skies Records	0.629	0.945	2	-7.643	1	0.0396	0.0668	0.311	0.0565	0.0381	125.997	251429	4
spotify:track:6eyjbykZ2dBBJnFkyqsmCf	Double Touch	Woolfie	2021	day	Organic House / Downtempo	TRYBESof	0.794	0.748	7	-8.647	1	0.0452	0.00043	0.88	0.0371	0.199	121.004	445468	35
spotify:track:79b6pe9ecV33Pxi4yAQAIc	Dua Lipa	Love Again (Horse Meat Disco Remix)	2020	day	Dance / Electro Pop	Warner Records	0.77	0.857	1	-4.831	0	0.0351	0.00265	0.0533	0.063	0.473	117.997	331813	11
spotify:track:2JzErxvclrRRG9bj9dEXR3	Dua Lipa	Don't Start Now (Purple Disco Machine Remix)	2020	day	Dance / Electro Pop	Warner Records	0.766	0.752	11	-6.185	0	0.0506	0.0457	2.87e-06	0.351	0.807	123.979	216774	4
spotify:track:1YH44fWmAxt0BulTbDE6MT	Dualities	Crazy In Love	2023	day	Dance / Electro Pop	Soave	0.809	0.886	2	-5.273	1	0.0769	0.0107	0.00158	0.0917	0.312	126.981	153071	11
spotify:track:0qN5ilZ92dfDrw2ZK1uvpR	dubspeeka	Primary K293	2015	day	Techno (Peak Time / Driving)	Drumcode	0.755	0.639	6	-8.512	1	0.0447	0.000152	0.86	0.111	0.0853	124.002	468371	-1
spotify:track:6Uc6yEJR5Vdy0SB3kc7ise	Duke Dumont	Need U (100%) (feat. A*M*E) (Skreamix)	2013	day	Dance / Electro Pop	EMI	0.688	0.613	10	-7.471	0	0.0556	0.00322	0.505	0.0234	0.362	123.983	392832	31
spotify:track:6yPRobIUUZkAg87R8las1c	Dunmore Brothers	Step Closer (Extended Mix)	2021	day	House	Snatch! Records	0.808	0.759	10	-6.757	0	0.0484	0.000214	0.697	0.0705	0.55	124.012	420024	-1
